	measurement_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
61	62	606.35	630.0	603.63	622.5	2016-08-02T00:00:00.0000000Z	2016-08-01T00:00:00.0000000Z	5239	5488.95380857	BTC
62	63	540.0	613.03	465.28	606.84	2016-08-03T00:00:00.0000000Z	2016-08-02T00:00:00.0000000Z	11321	22142.62442025	BTC
63	64	563.42	572.34	521.0	540.0	2016-08-04T00:00:00.0000000Z	2016-08-03T00:00:00.0000000Z	11730	15452.31949194	BTC
64	65	576.13	583.97	552.0	563.99	2016-08-05T00:00:00.0000000Z	2016-08-04T00:00:00.0000000Z	7133	8394.04255656	BTC
65	66	572.5	578.2	562.0	578.14	2016-08-06T00:00:00.0000000Z	2016-08-05T00:00:00.0000000Z	4111	4811.23583899	BTC
66	67	589.48	592.0	562.56	572.98	2016-08-07T00:00:00.0000000Z	2016-08-06T00:00:00.0000000Z	5884	6021.3087891	BTC
67	68	592.47	598.82	582.12	589.47	2016-08-08T00:00:00.0000000Z	2016-08-07T00:00:00.0000000Z	4262	2908.12442938	BTC
68	69	591.88	594.0	583.58	592.47	2016-08-09T00:00:00.0000000Z	2016-08-08T00:00:00.0000000Z	5071	3181.85250852	BTC
69	70	582.75	591.85	579.43	591.85	2016-08-10T00:00:00.0000000Z	2016-08-09T00:00:00.0000000Z	3284	3174.70598792	BTC
70	71	590.27	603.0	580.01	582.71	2016-08-11T00:00:00.0000000Z	2016-08-10T00:00:00.0000000Z	3838	5217.75905561	BTC
71	72	585.22	597.78	585.22	590.46	2016-08-12T00:00:00.0000000Z	2016-08-11T00:00:00.0000000Z	2864	2543.68401092	BTC
72	73	585.91	591.19	580.47	585.25	2016-08-13T00:00:00.0000000Z	2016-08-12T00:00:00.0000000Z	3054	2177.37864395	BTC
73	74	583.52	589.98	581.71	585.34	2016-08-14T00:00:00.0000000Z	2016-08-13T00:00:00.0000000Z	1627	962.30229892	BTC
74	75	568.76	583.92	556.24	583.54	2016-08-15T00:00:00.0000000Z	2016-08-14T00:00:00.0000000Z	3710	4812.8152523	BTC
75	76	565.55	573.69	554.9	568.76	2016-08-16T00:00:00.0000000Z	2016-08-15T00:00:00.0000000Z	3645	4633.74558455	BTC
76	77	574.99	579.8	563.0	564.2	2016-08-17T00:00:00.0000000Z	2016-08-16T00:00:00.0000000Z	3363	4837.18871903	BTC
77	78	570.91	577.86	566.02	574.95	2016-08-18T00:00:00.0000000Z	2016-08-17T00:00:00.0000000Z	4114	4107.0085286	BTC
78	79	571.49	575.87	568.79	570.91	2016-08-19T00:00:00.0000000Z	2016-08-18T00:00:00.0000000Z	3421	3967.28412511	BTC
