	name	price_high	price_low	price_open	time_period_start	time_period_end	volume_traded	trades_count
103	BTC	588.71	558.54	569.93	2016-06-04T00:00:00.0000000Z	2016-06-05T00:00:00.0000000Z	6216.6271931	4131
104	BTC	582.0	566.0	573.5	2016-06-05T00:00:00.0000000Z	2016-06-06T00:00:00.0000000Z	5415.93469447	3347
105	BTC	586.02	573.8	573.8	2016-06-06T00:00:00.0000000Z	2016-06-07T00:00:00.0000000Z	4465.51612085	3214
106	BTC	594.44	563.0	584.12	2016-06-07T00:00:00.0000000Z	2016-06-08T00:00:00.0000000Z	6705.91830357	4843
107	BTC	584.25	571.86	577.48	2016-06-08T00:00:00.0000000Z	2016-06-09T00:00:00.0000000Z	3259.15110512	2925
108	BTC	583.1	572.97	583.01	2016-06-09T00:00:00.0000000Z	2016-06-10T00:00:00.0000000Z	3770.7182618	2808
109	BTC	580.0	572.0	576.06	2016-06-10T00:00:00.0000000Z	2016-06-11T00:00:00.0000000Z	3458.56492292	2110
110	BTC	611.0	575.93	576.53	2016-06-11T00:00:00.0000000Z	2016-06-12T00:00:00.0000000Z	3994.69960397	3750
111	BTC	683.02	603.21	610.0	2016-06-12T00:00:00.0000000Z	2016-06-13T00:00:00.0000000Z	14137.59479747	9681
112	BTC	725.0	655.02	668.73	2016-06-13T00:00:00.0000000Z	2016-06-14T00:00:00.0000000Z	17280.60397099	13382
113	BTC	704.5	655.0	703.81	2016-06-14T00:00:00.0000000Z	2016-06-15T00:00:00.0000000Z	10633.44050212	7601
114	BTC	695.77	672.12	685.25	2016-06-15T00:00:00.0000000Z	2016-06-16T00:00:00.0000000Z	5783.92382786	5385
115	BTC	773.07	689.8	695.0	2016-06-16T00:00:00.0000000Z	2016-06-17T00:00:00.0000000Z	17946.82684698	10492
116	BTC	778.7	706.37	767.37	2016-06-17T00:00:00.0000000Z	2016-06-18T00:00:00.0000000Z	14687.27083679	9405
117	BTC	778.85	723.02	745.0	2016-06-18T00:00:00.0000000Z	2016-06-19T00:00:00.0000000Z	5902.36262144	5637
118	BTC	764.93	740.11	753.47	2016-06-19T00:00:00.0000000Z	2016-06-20T00:00:00.0000000Z	2617.27920864	3473
119	BTC	763.99	723.4	759.12	2016-06-20T00:00:00.0000000Z	2016-06-21T00:00:00.0000000Z	7962.77933806	9121
120	BTC	728.18	625.0	725.0	2016-06-21T00:00:00.0000000Z	2016-06-22T00:00:00.0000000Z	33056.28964434	20355
121	BTC	677.63	588.03	665.36	2016-06-22T00:00:00.0000000Z	2016-06-23T00:00:00.0000000Z	16456.40877924	12231
122	BTC	632.67	1.5	600.51	2016-06-23T00:00:00.0000000Z	2016-06-24T00:00:00.0000000Z	23941.93995526	13443
123	BTC	683.88	620.82	622.59	2016-06-24T00:00:00.0000000Z	2016-06-25T00:00:00.0000000Z	16036.29415431	10398
124	BTC	684.45	639.4	660.76	2016-06-25T00:00:00.0000000Z	2016-06-26T00:00:00.0000000Z	6576.43804357	4614
125	BTC	662.9	608.64	658.8	2016-06-26T00:00:00.0000000Z	2016-06-27T00:00:00.0000000Z	5838.1489745	4579
126	BTC	658.0	618.03	630.16	2016-06-27T00:00:00.0000000Z	2016-06-28T00:00:00.0000000Z	8668.59311399	6897
127	BTC	665.51	635.5	657.49	2016-06-28T00:00:00.0000000Z	2016-06-29T00:00:00.0000000Z	5478.35678011	5106
128	BTC	645.0	621.09	644.33	2016-06-29T00:00:00.0000000Z	2016-06-30T00:00:00.0000000Z	9132.47818623	6855
129	BTC	671.22	628.06	635.91	2016-06-30T00:00:00.0000000Z	2016-07-01T00:00:00.0000000Z	7479.78991538	5324
130	BTC	684.1	659.71	666.33	2016-07-01T00:00:00.0000000Z	2016-07-02T00:00:00.0000000Z	6432.9196212	5324
131	BTC	704.93	672.74	674.55	2016-07-02T00:00:00.0000000Z	2016-07-03T00:00:00.0000000Z	5506.04313621	3906
132	BTC	704.99	646.29	702.48	2016-07-03T00:00:00.0000000Z	2016-07-04T00:00:00.0000000Z	7320.31995024	5517
133	BTC	682.35	640.1	659.77	2016-07-04T00:00:00.0000000Z	2016-07-05T00:00:00.0000000Z	4290.13225288	4629
134	BTC	682.36	661.57	678.74	2016-07-05T00:00:00.0000000Z	2016-07-06T00:00:00.0000000Z	3112.7271219	2744
135	BTC	679.0	662.13	669.09	2016-07-06T00:00:00.0000000Z	2016-07-07T00:00:00.0000000Z	3590.61112814	2889
136	BTC	678.43	605.5	674.7	2016-07-07T00:00:00.0000000Z	2016-07-08T00:00:00.0000000Z	12686.97748136	9262
137	BTC	665.99	635.0	638.89	2016-07-08T00:00:00.0000000Z	2016-07-09T00:00:00.0000000Z	6579.38521243	5237
138	BTC	663.99	626.0	663.0	2016-07-09T00:00:00.0000000Z	2016-07-10T00:00:00.0000000Z	6180.15042485	5155
139	BTC	650.88	636.8	647.78	2016-07-10T00:00:00.0000000Z	2016-07-11T00:00:00.0000000Z	2313.34939114	2148
140	BTC	659.6	639.31	648.77	2016-07-11T00:00:00.0000000Z	2016-07-12T00:00:00.0000000Z	2978.13685533	2554
141	BTC	678.0	646.05	649.32	2016-07-12T00:00:00.0000000Z	2016-07-13T00:00:00.0000000Z	4288.07627477	5563
142	BTC	669.97	651.03	663.52	2016-07-13T00:00:00.0000000Z	2016-07-14T00:00:00.0000000Z	6573.20203068	5319
143	BTC	664.93	650.01	652.24	2016-07-14T00:00:00.0000000Z	2016-07-15T00:00:00.0000000Z	2392.43467683	3098
144	BTC	670.01	658.41	660.3	2016-07-15T00:00:00.0000000Z	2016-07-16T00:00:00.0000000Z	3228.34264303	3117
145	BTC	666.67	655.0	664.6	2016-07-16T00:00:00.0000000Z	2016-07-17T00:00:00.0000000Z	1682.67647056	1687
146	BTC	684.19	661.35	662.45	2016-07-17T00:00:00.0000000Z	2016-07-18T00:00:00.0000000Z	3437.77012475	3094
147	BTC	682.21	666.12	679.54	2016-07-18T00:00:00.0000000Z	2016-07-19T00:00:00.0000000Z	3012.20623456	2732
148	BTC	675.81	666.0	673.45	2016-07-19T00:00:00.0000000Z	2016-07-20T00:00:00.0000000Z	1904.43446142	2022
149	BTC	675.0	660.0	674.8	2016-07-20T00:00:00.0000000Z	2016-07-21T00:00:00.0000000Z	3418.62509416	2380
150	BTC	667.1	660.1	667.01	2016-07-21T00:00:00.0000000Z	2016-07-22T00:00:00.0000000Z	2503.04270767	3234
151	BTC	666.3	645.0	663.25	2016-07-22T00:00:00.0000000Z	2016-07-23T00:00:00.0000000Z	5191.55506577	4002
152	BTC	656.77	646.0	647.88	2016-07-23T00:00:00.0000000Z	2016-07-24T00:00:00.0000000Z	1284.52223933	2154
153	BTC	665.0	651.99	655.52	2016-07-24T00:00:00.0000000Z	2016-07-25T00:00:00.0000000Z	1427.97990306	2508
154	BTC	661.99	652.28	659.64	2016-07-25T00:00:00.0000000Z	2016-07-26T00:00:00.0000000Z	2441.94401025	2977
155	BTC	656.94	645.01	655.0	2016-07-26T00:00:00.0000000Z	2016-07-27T00:00:00.0000000Z	3552.82907397	4931
156	BTC	659.98	646.31	651.22	2016-07-27T00:00:00.0000000Z	2016-07-28T00:00:00.0000000Z	2664.94311137	4113
157	BTC	657.89	652.41	655.13	2016-07-28T00:00:00.0000000Z	2016-07-29T00:00:00.0000000Z	1896.1054278	2715
158	BTC	657.48	653.0	654.84	2016-07-29T00:00:00.0000000Z	2016-07-30T00:00:00.0000000Z	1297.14816627	2187
159	BTC	657.5	652.19	654.88	2016-07-30T00:00:00.0000000Z	2016-07-31T00:00:00.0000000Z	719.15982547	1036
160	BTC	654.71	614.97	654.02	2016-07-31T00:00:00.0000000Z	2016-08-01T00:00:00.0000000Z	4933.11939038	4775
161	BTC	630.0	603.63	622.5	2016-08-01T00:00:00.0000000Z	2016-08-02T00:00:00.0000000Z	5488.95380857	5239
162	BTC	613.03	465.28	606.84	2016-08-02T00:00:00.0000000Z	2016-08-03T00:00:00.0000000Z	22142.62442025	11321
163	BTC	572.34	521.0	540.0	2016-08-03T00:00:00.0000000Z	2016-08-04T00:00:00.0000000Z	15452.31949194	11730
164	BTC	583.97	552.0	563.99	2016-08-04T00:00:00.0000000Z	2016-08-05T00:00:00.0000000Z	8394.04255656	7133
165	BTC	578.2	562.0	578.14	2016-08-05T00:00:00.0000000Z	2016-08-06T00:00:00.0000000Z	4811.23583899	4111
166	BTC	592.0	562.56	572.98	2016-08-06T00:00:00.0000000Z	2016-08-07T00:00:00.0000000Z	6021.3087891	5884
167	BTC	598.82	582.12	589.47	2016-08-07T00:00:00.0000000Z	2016-08-08T00:00:00.0000000Z	2908.12442938	4262
168	BTC	594.0	583.58	592.47	2016-08-08T00:00:00.0000000Z	2016-08-09T00:00:00.0000000Z	3181.85250852	5071
169	BTC	591.85	579.43	591.85	2016-08-09T00:00:00.0000000Z	2016-08-10T00:00:00.0000000Z	3174.70598792	3284
170	BTC	603.0	580.01	582.71	2016-08-10T00:00:00.0000000Z	2016-08-11T00:00:00.0000000Z	5217.75905561	3838
171	BTC	597.78	585.22	590.46	2016-08-11T00:00:00.0000000Z	2016-08-12T00:00:00.0000000Z	2543.68401092	2864
172	BTC	591.19	580.47	585.25	2016-08-12T00:00:00.0000000Z	2016-08-13T00:00:00.0000000Z	2177.37864395	3054
173	BTC	589.98	581.71	585.34	2016-08-13T00:00:00.0000000Z	2016-08-14T00:00:00.0000000Z	962.30229892	1627
174	BTC	583.92	556.24	583.54	2016-08-14T00:00:00.0000000Z	2016-08-15T00:00:00.0000000Z	4812.8152523	3710
